date,ave_C,min_C,max_C,ave_ws,ave_rh,ave_hpa,daily_precipitation,SO2,NO2,CO,PM2_5,PM10,O38h,AQI,month,day,week
2013/3/30,0.521226415,0.478773585,0.586666667,0.253164557,0.43902439,0.354527938,0,0.305882353,0.535433071,0.029478659,0.256281407,0.291985323,0.32183908,0.388535032,0.181818182,0.966666667,0.833333333
2013/3/31,0.481132075,0.507075472,0.486666667,0.417721519,0.56097561,0.350674374,0,0.229411765,0.440944882,0.033278854,0.278056951,0.268417567,0.245210728,0.416135881,0.181818182,1,1
2013/4/1,0.528301887,0.504716981,0.571111111,0.126582278,0.43902439,0.400770713,0,0.211764706,0.527559055,0.034758216,0.247906198,0.30966114,0.333333333,0.377919321,0.272727273,0,0
2013/4/2,0.469339623,0.514150943,0.484444444,0.46835443,0.207317073,0.40655106,0,0.364705882,0.480314961,0.029397226,0.139028476,0.216372105,0.118773946,0.227176221,0.272727273,0.033333333,0.166666667
2013/4/3,0.528301887,0.5,0.548888889,0.278481013,0.390243902,0.242774566,0,0.317647059,0.535433071,0.031623055,0.18760469,0.221282054,0.379310345,0.276008493,0.272727273,0.066666667,0.333333333
2013/4/4,0.478773585,0.554245283,0.491111111,0.430379747,0.695121951,0.223506744,0.071929825,0.170588235,0.385826772,0.027388551,0.185929648,0.219318075,0.16091954,0.27388535,0.272727273,0.1,0.5
2013/4/5,0.408018868,0.45990566,0.355555556,0.379746835,0.524390244,0.493256262,0.050877193,0.111764706,0.196850394,0.019774588,0.061976549,0.162362664,0.203065134,0.16985138,0.272727273,0.133333333,0.666666667
2013/4/6,0.405660377,0.377358491,0.462222222,0.164556962,0.365853659,0.421965318,0,0.123529412,0.338582677,0.022624735,0.08040201,0.142722867,0.249042146,0.148619958,0.272727273,0.166666667,0.833333333
2013/4/7,0.469339623,0.393867925,0.557777778,0.291139241,0.317073171,0.244701349,0,0.211764706,0.503937008,0.028135018,0.112227806,0.175128532,0.249042146,0.182590234,0.272727273,0.2,1
2013/4/8,0.497641509,0.549528302,0.468888889,0.417721519,0.195121951,0.391136802,0,0.105882353,0.42519685,0.023954803,0.100502513,0.241903841,0.268199234,0.25477707,0.272727273,0.233333333,0
2013/4/9,0.424528302,0.429245283,0.442222222,0.367088608,0,0.541425819,0,0.1,0.196850394,0.017955923,0.050251256,0.12308307,0.295019157,0.127388535,0.272727273,0.266666667,0.166666667
2013/4/10,0.424528302,0.41509434,0.475555556,0.164556962,0.109756098,0.529865125,0,0.135294118,0.37007874,0.020873931,0.070351759,0.140758887,0.279693487,0.146496815,0.272727273,0.3,0.333333333
2013/4/11,0.511792453,0.429245283,0.611111111,0.139240506,0.195121951,0.450867052,0,0.247058824,0.622047244,0.023751222,0.092127303,0.163344654,0.283524904,0.16985138,0.272727273,0.333333333,0.5
2013/4/12,0.561320755,0.476415094,0.651111111,0.215189873,0.231707317,0.418111753,0,0.164705882,0.401574803,0.026072055,0.082077052,0.140758887,0.283524904,0.146496815,0.272727273,0.366666667,0.666666667
2013/4/13,0.632075472,0.577830189,0.675555556,0.392405063,0.182926829,0.306358382,0,0.152941176,0.362204724,0.022190427,0.072026801,0.134866948,0.32183908,0.140127389,0.272727273,0.4,0.833333333
2013/4/14,0.686320755,0.606132075,0.782222222,0.227848101,0.109756098,0.250481696,0,0.182352941,0.330708661,0.017725197,0.067001675,0.131920979,0.314176245,0.135881104,0.272727273,0.433333333,1
2013/4/15,0.714622642,0.660377358,0.782222222,0.265822785,0.109756098,0.136801541,0,0.217647059,0.377952756,0.022950466,0.08040201,0.154506745,0.383141762,0.161358811,0.272727273,0.466666667,0
2013/4/16,0.733490566,0.724056604,0.777777778,0.392405063,0.109756098,0.119460501,0,0.176470588,0.244094488,0.017453755,0.073701843,0.140758887,0.352490421,0.146496815,0.272727273,0.5,0.166666667
2013/4/17,0.66509434,0.650943396,0.695555556,0.455696203,0.304878049,0.088631985,0,0.217647059,0.362204724,0.025013429,0.155778894,0.259579658,0.45210728,0.27388535,0.272727273,0.533333333,0.333333333
2013/4/18,0.563679245,0.617924528,0.648888889,1,0.414634146,0.192678227,0,0.170588235,0.220472441,0.020873931,0.18760469,0.3715265,0.268199234,0.454352442,0.272727273,0.566666667,0.5
2013/4/19,0.33490566,0.389150943,0.397777778,0.582278481,0.695121951,0.371868979,0.035087719,0.064705882,0.157480315,0.019733872,0.10720268,0.113263172,0.153256705,0.146496815,0.272727273,0.6,0.666666667
